"";"Deaths";"Crude.Rate"
"Massachusetts-1996";490;7,928
"Massachusetts-1997";492;7,9
"Massachusetts-1998";506;8,064
"Massachusetts-1999";431;6,822
"Massachusetts-2000";385;6,064
"Massachusetts-2001";426;6,659
"Massachusetts-2002";436;6,794
"Massachusetts-2003";433;6,742
"Massachusetts-2004";423;6,597
"Massachusetts-2005";480;7,496
"Massachusetts-2006";449;7,005
"Massachusetts-2007";516;8,023
"Massachusetts-2008";508;7,853
"Massachusetts-2009";530;8,132
"Massachusetts-2010";597;9,118
"Massachusetts-2011";585;8,848
"Massachusetts-2012";602;9,042
"Massachusetts-2013";570;8,499
"Massachusetts-2014";596;8,83
"Massachusetts-2015";642;9,463
"Massachusetts-2016";630;9,249
"Michigan-1990";1073;11,54
"Michigan-1991";1142;12,142
"Michigan-1992";1068;11,264
"Michigan-1993";1084;11,36
"Michigan-1994";1036;10,79
"Michigan-1995";980;10,126
"Michigan-1996";1114;11,412
"Michigan-1997";1010;10,294
"Michigan-1998";969;9,836
"Michigan-1999";974;9,841
"Michigan-2000";974;9,8
"Michigan-2001";1049;10,499
"Michigan-2002";1106;11,043
"Michigan-2003";1027;10,228
"Michigan-2004";1097;10,91
"Michigan-2005";1108;11,024
"Michigan-2006";1137;11,329
"Michigan-2007";1129;11,289
"Michigan-2008";1179;11,853
"Michigan-2009";1169;11,806
"Michigan-2010";1262;12,769
"Michigan-2011";1221;12,363
"Michigan-2012";1258;12,723
"Michigan-2013";1293;13,062
"Michigan-2014";1352;13,635
"Michigan-2015";1408;14,197
"Michigan-2016";1362;13,718
"Minnesota-1990";546;12,482
"Minnesota-1991";511;11,502
"Minnesota-1992";513;11,41
"Minnesota-1993";498;10,928
"Minnesota-1994";494;10,712
"Minnesota-1995";520;11,156
"Minnesota-1996";491;10,416
"Minnesota-1997";472;9,907
"Minnesota-1998";459;9,533
"Minnesota-1999";437;8,967
"Minnesota-2000";440;8,944
"Minnesota-2001";478;9,593
"Minnesota-2002";494;9,843
"Minnesota-2003";497;9,835
"Minnesota-2004";522;10,26
"Minnesota-2005";546;10,665
"Minnesota-2006";554;10,729
"Minnesota-2007";572;10,985
"Minnesota-2008";595;11,34
"Minnesota-2009";583;11,039
"Minnesota-2010";603;11,369
"Minnesota-2011";681;12,732
"Minnesota-2012";655;12,174
"Minnesota-2013";676;12,476
"Minnesota-2014";686;12,58
"Minnesota-2015";729;13,297
"Minnesota-2016";745;13,496
"Mississippi-1990";289;11,223
"Mississippi-1991";325;12,495
"Mississippi-1992";333;12,687
"Mississippi-1993";327;12,31
"Mississippi-1994";315;11,708
"Mississippi-1995";319;11,71
"Mississippi-1996";310;11,273
"Mississippi-1997";339;12,201
"Mississippi-1998";329;11,72
"Mississippi-1999";304;10,748
"Mississippi-2000";293;10,3
"Mississippi-2001";328;11,497
"Mississippi-2002";343;11,999
"Mississippi-2003";336;11,714
"Mississippi-2004";350;12,115
"Mississippi-2005";362;12,457
"Mississippi-2006";325;11,188
"Mississippi-2007";395;13,489
